epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,761.743,0.75525,1.16375,0.57442,1.00066,0.95885,0.86885,0.94422,0.71451,0.95885,0.86885,0.94276,0.70543,0.85296,1.47204,0.54923,1.11821,0.0009308,0.0009308,0.0009308
56,774.703,0.79646,1.16315,0.59201,1.02857,0.9871,0.87705,0.92955,0.70161,0.9871,0.87705,0.92955,0.69778,0.88946,1.41053,0.65315,1.1345,0.000911,0.000911,0.000911
57,790.098,0.79376,1.21442,0.59092,1.02382,0.93396,0.90984,0.94295,0.7247,0.93396,0.90984,0.94295,0.71221,0.88151,1.43434,0.53903,1.11519,0.0008912,0.0008912,0.0008912
58,802.916,0.78336,1.16818,0.55276,1.01546,0.96148,0.90984,0.94447,0.71494,0.96148,0.90984,0.94796,0.69647,0.88147,1.43165,0.54194,1.12456,0.0008714,0.0008714,0.0008714
59,815.805,0.774,1.13953,0.55936,1.01327,0.95818,0.87705,0.94004,0.72476,0.95818,0.87705,0.94004,0.71086,0.84649,1.35981,0.56176,1.10675,0.0008516,0.0008516,0.0008516
60,831.659,0.72429,1.10622,0.52645,0.99729,0.95789,0.93218,0.95569,0.72048,0.95789,0.93218,0.95569,0.72266,0.89249,1.36593,0.53054,1.1312,0.0008318,0.0008318,0.0008318
61,844.74,0.77502,1.18416,0.56556,1.02316,0.94039,0.90984,0.93729,0.72154,0.94887,0.91803,0.94534,0.72788,0.87387,1.33154,0.55837,1.12192,0.000812,0.000812,0.000812
62,860.584,0.75107,1.14829,0.54832,1.00866,0.94048,0.90659,0.94224,0.73306,0.94048,0.90659,0.94224,0.7228,0.86864,1.37699,0.57248,1.12073,0.0007922,0.0007922,0.0007922
63,873.708,0.75914,1.16536,0.54502,1.01511,0.93704,0.90164,0.95996,0.73235,0.94715,0.88525,0.95806,0.72757,0.84751,1.38628,0.50409,1.10795,0.0007724,0.0007724,0.0007724
64,886.449,0.75313,1.12541,0.54919,1.01037,0.92559,0.88525,0.93536,0.71662,0.92559,0.88525,0.93536,0.70845,0.89168,1.44595,0.56838,1.12748,0.0007526,0.0007526,0.0007526
65,902.509,0.76902,1.12404,0.53306,1.02289,0.93921,0.90984,0.94668,0.72608,0.94106,0.91609,0.95003,0.7121,0.8688,1.3822,0.52359,1.10724,0.0007328,0.0007328,0.0007328
66,915.459,0.74769,1.09657,0.52838,0.99587,0.93859,0.90984,0.93616,0.73869,0.98728,0.86885,0.93445,0.7164,0.81013,1.38974,0.55761,1.06675,0.000713,0.000713,0.000713
67,931.38,0.75547,1.13026,0.53656,1.01107,0.95748,0.92292,0.94472,0.73294,0.95748,0.92292,0.94779,0.71252,0.87373,1.38771,0.52758,1.13641,0.0006932,0.0006932,0.0006932
68,944.275,0.71917,1.1169,0.51624,0.98914,0.94654,0.90984,0.94457,0.74404,0.94654,0.90984,0.94457,0.71323,0.84823,1.43371,0.51194,1.11294,0.0006734,0.0006734,0.0006734
69,958.811,0.7403,1.1194,0.51819,1.00419,0.97389,0.9173,0.94721,0.73515,0.97389,0.9173,0.94721,0.71852,0.82898,1.40961,0.51778,1.08254,0.0006536,0.0006536,0.0006536
70,974.729,0.73354,1.09493,0.51708,0.9968,0.96606,0.93317,0.96357,0.74851,0.97387,0.91636,0.96146,0.71697,0.8365,1.48377,0.50353,1.10568,0.0006338,0.0006338,0.0006338
71,987.62,0.75069,1.1702,0.52654,1.002,0.96538,0.91434,0.95805,0.73407,0.96353,0.90164,0.96272,0.71701,0.8764,1.42432,0.48829,1.13503,0.000614,0.000614,0.000614
72,1003.58,0.71106,1.11848,0.50648,0.98552,0.92226,0.93443,0.95935,0.74989,0.92226,0.93443,0.95935,0.73013,0.83527,1.38492,0.50186,1.11726,0.0005942,0.0005942,0.0005942
73,1018.63,0.71704,1.0805,0.49629,0.98624,0.97378,0.91319,0.95515,0.74951,0.97378,0.91319,0.95857,0.73149,0.84513,1.39098,0.49115,1.11245,0.0005744,0.0005744,0.0005744
